Geography,National,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Florida,0.008,0.001,0.0,0.003,0.0,0.001,0.001,0.001,0.001,0.0,0.936,0.003,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.0,0.001,0.003,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.003,0.0,0.002,0.001,0.001,0.004,0.0,0.001,0.0,0.001,0.002,0.001,0.002,0.001,0.001,0.0,0.003,0.0
Georgia,0.005,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.0,0.0,0.002,0.961,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.001,0.002,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.002,0.0
Hawaii,0.064,0.005,0.004,0.021,0.003,0.011,0.01,0.005,0.004,0.0,0.022,0.023,0.483,0.006,0.0,0.005,0.011,0.005,0.008,0.007,0.012,0.008,0.012,0.004,0.007,0.018,0.016,0.004,0.007,0.008,0.0,0.005,0.005,0.0,0.006,0.007,0.007,0.005,0.006,0.019,0.004,0.013,0.005,0.009,0.027,0.0,0.008,0.0,0.004,0.014,0.006,0.013,0.009,0.007,0.002,0.023,0.0
Idaho,0.048,0.004,0.003,0.017,0.003,0.005,0.007,0.003,0.003,0.0,0.015,0.019,0.003,0.589,0.0,0.005,0.01,0.005,0.008,0.007,0.011,0.008,0.011,0.002,0.004,0.016,0.012,0.004,0.006,0.007,0.0,0.004,0.005,0.0,0.004,0.005,0.004,0.004,0.003,0.017,0.003,0.012,0.005,0.007,0.021,0.0,0.007,0.0,0.004,0.01,0.005,0.012,0.006,0.004,0.002,0.018,0.0
Illinois,0.133,0.009,0.007,0.039,0.006,0.016,0.02,0.01,0.007,0.0,0.037,0.048,0.008,0.012,0.0,0.01,0.021,0.011,0.016,0.014,0.02,0.014,0.02,0.007,0.012,0.039,0.034,0.008,0.014,0.013,0.0,0.008,0.009,0.0,0.011,0.011,0.013,0.008,0.011,0.04,0.008,0.027,0.009,0.016,0.058,0.0,0.016,0.0,0.008,0.026,0.012,0.024,0.017,0.012,0.004,0.046,0.0
Indiana,0.063,0.006,0.004,0.021,0.005,0.006,0.009,0.004,0.004,0.0,0.019,0.026,0.004,0.008,0.0,0.453,0.014,0.007,0.011,0.008,0.013,0.009,0.013,0.003,0.005,0.025,0.017,0.006,0.009,0.009,0.0,0.005,0.006,0.0,0.005,0.006,0.005,0.004,0.004,0.024,0.004,0.018,0.006,0.008,0.03,0.0,0.01,0.0,0.005,0.013,0.006,0.014,0.008,0.006,0.003,0.027,0.0
Iowa,0.024,0.002,0.001,0.008,0.002,0.003,0.004,0.002,0.001,0.0,0.007,0.009,0.002,0.003,0.0,0.003,0.788,0.003,0.004,0.003,0.006,0.004,0.006,0.001,0.002,0.01,0.007,0.002,0.003,0.004,0.0,0.002,0.002,0.0,0.002,0.003,0.002,0.002,0.002,0.009,0.002,0.007,0.002,0.003,0.013,0.0,0.004,0.0,0.002,0.005,0.002,0.006,0.003,0.002,0.001,0.012,0.0
Kansas,0.063,0.005,0.004,0.02,0.004,0.007,0.01,0.005,0.004,0.0,0.018,0.025,0.004,0.008,0.0,0.006,0.014,0.471,0.01,0.007,0.013,0.009,0.013,0.003,0.005,0.022,0.017,0.005,0.008,0.009,0.0,0.005,0.006,0.0,0.005,0.006,0.005,0.004,0.004,0.022,0.004,0.016,0.006,0.009,0.03,0.0,0.009,0.0,0.005,0.013,0.006,0.014,0.008,0.006,0.003,0.026,0.0
Kentucky,0.032,0.004,0.002,0.011,0.003,0.003,0.005,0.002,0.002,0.0,0.01,0.014,0.002,0.004,0.0,0.004,0.007,0.004,0.712,0.005,0.007,0.005,0.007,0.002,0.003,0.013,0.009,0.003,0.005,0.005,0.0,0.003,0.003,0.0,0.003,0.003,0.003,0.003,0.002,0.013,0.002,0.009,0.004,0.005,0.016,0.0,0.006,0.0,0.003,0.007,0.003,0.008,0.004,0.003,0.002,0.014,0.0
Louisiana,0.042,0.004,0.003,0.014,0.003,0.005,0.006,0.003,0.002,0.0,0.013,0.019,0.003,0.005,0.0,0.004,0.008,0.004,0.007,0.649,0.008,0.005,0.008,0.002,0.004,0.014,0.01,0.005,0.005,0.005,0.0,0.003,0.003,0.0,0.004,0.004,0.004,0.004,0.003,0.016,0.003,0.01,0.004,0.005,0.018,0.0,0.007,0.0,0.003,0.009,0.004,0.009,0.005,0.004,0.002,0.015,0.0
